,numberOfDirectManipulationOfModels,numberOfInDirectManipulationOfModels,npath_complexity,lack_of_cohesion_in_methods,number_of_methods,depth_of_inheritance,coupling_between_object_classes,class_complexity,number_of_attributes,number_of_implemented_interfaces,is_presenterForm,Role
0,1,0,0,134217728.0,23.0,11.0,0.0,2.0,27.0,4.0,0.0,1
1,1,0,0,137438953472.0,28.0,8.0,0.0,3.0,37.0,8.0,0.0,4
2,0,0,0,128.0,0.0,3.0,0.0,1.0,7.0,9.0,1.0,4
3,0,0,0,32.0,1.0,3.0,0.0,1.0,5.0,4.0,1.0,4
4,2,15,0,33554432.0,16.0,8.0,0.0,5.0,25.0,8.0,0.0,4
5,0,14,0,512.0,4.0,5.0,0.0,2.0,9.0,4.0,0.0,4
6,0,0,0,4.611686018427388e+18,24.0,13.0,1.0,3.0,62.0,20.0,0.0,4
7,0,0,0,256.0,10.0,5.0,0.0,4.0,8.0,0.0,1.0,4
8,1,5,0,9007199254740992.0,62.0,17.0,0.0,7.0,53.0,13.0,0.0,1
9,0,0,0,33554432.0,0.0,7.0,0.0,8.0,25.0,3.0,0.0,4
10,1,1,0,134217728.0,0.0,15.0,0.0,4.0,27.0,6.0,0.0,4
11,2,1,0,562949953421312.0,225.0,22.0,0.0,14.0,49.0,15.0,0.0,4
12,0,0,0,8.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,4
13,0,6,0,131072.0,15.0,6.0,0.0,1.0,17.0,2.0,0.0,4
14,0,0,0,4294967296.0,11.0,6.0,0.0,4.0,32.0,5.0,0.0,4
15,0,0,0,8.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,4
16,0,1,0,8192.0,2.0,5.0,0.0,3.0,13.0,3.0,0.0,4
17,2,6,0,1073741824.0,45.0,11.0,0.0,3.0,30.0,9.0,0.0,4
18,0,0,0,1.6225927682921336e+32,605.0,38.0,0.0,10.0,107.0,18.0,0.0,4
19,0,0,0,16384.0,1.0,2.0,0.0,3.0,14.0,1.0,0.0,4
20,0,0,0,65536.0,1.0,2.0,0.0,3.0,16.0,1.0,0.0,4
21,0,0,0,2048.0,2.0,5.0,0.0,2.0,11.0,5.0,0.0,4
22,0,0,0,4294967296.0,0.0,6.0,0.0,3.0,32.0,8.0,1.0,4
23,2,1,0,32768.0,0.0,3.0,0.0,2.0,15.0,7.0,0.0,1
