App,Class,B,CBO,CLOC,COM_RAT,Command,Cons,CSA,CSO,CSOA,Cyclic,D,Dcy,Dcy1,DIT,Dpt,Dpt1,E,Inner,Inner1,Jf,JLOC,Jm,JTA,JTM,LCOM,Level,Level1,LOC,MPC,N,n,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,PDcy,PDpt,Query,RFC,STAT,SUB,TCOM_RAT,TODO,V,WMC
chibe,com.jmstudios.chibe.ChibeActivity,0,9,12,0.1237,5,0,5,19,24,0,34,9,13,1,0,0,30192,0,1,0,0,0,0,0,1,4,5,97,32,141,73,5,0,85,6,0,11,0,0,2,6,0.83,6.14,18,3,0,1,24,43,0,0.1412,0,872,14
chibe,com.jmstudios.chibe.ChibeFragment,0,5,5,0.0725,3,1,2,139,141,0,22,4,6,3,1,1,11809,0,3,0,0,0,0,0,1,3,4,69,28,93,50,2,0,64,3,0,125,1,0,1.12,2,0.2,3.12,6,1,1,1,18,25,0,0.0781,0,524,9
chibe,com.jmstudios.chibe.ChibeIntro,0,4,4,0.0816,5,0,1,5,6,0,5,3,3,1,1,1,1390,0,0,0,0,0,0,0,5,2,2,49,23,56,28,1,0,45,5,0,0,0,0,1,1,0.2,1.6,6,0,1,0,6,8,0,0.0889,0,269,5
chibe,com.jmstudios.chibe.preference.HourVibrationPatternPreference,0,2,0,0,1,1,4,171,175,0,10,2,6,5,0,0,1191,0,4,1,0,0,0,0,1,3,3,21,4,27,17,0,4,21,0,0,142,3,0,1,1,0.75,1.75,2,2,0,2,9,7,0,0,0,110,4
chibe,com.jmstudios.chibe.preference.IntervalSeekBarPreference,0,6,0,0,4,1,10,108,118,0,47,6,6,2,0,0,95819,0,1,0,0,0,0,0,1,2,2,130,41,305,96,10,0,130,6,0,89,3,0,3.69,9,1.1,7.77,18,1,0,5,27,101,0,0,0,2008,48
chibe,com.jmstudios.chibe.preference.TimePreference,0,2,4,0.0526,4,1,5,141,146,0,51,2,2,3,0,0,48406,0,4,0,0,0,0,0,3,2,2,76,36,153,71,5,0,72,0,0,115,6,0,1.86,5,1.29,4.57,11,0,0,2,34,32,0,0.0556,0,940,13
chibe,com.jmstudios.chibe.preference.VibrationPatternPreference,1,6,4,0.0253,6,1,4,167,171,0,93,5,5,4,1,1,176873,0,4,0,0,0,0,0,1,2,2,158,82,282,106,4,0,154,7,1,136,2,0,1.62,4,0.7,4.69,15,1,1,3,47,75,1,0.026,0,1897,26
chibe,com.jmstudios.chibe.state.BootReceiver,0,1,0,0,1,0,2,32,34,0,5,1,3,2,0,0,472,0,0,0,0,0,0,0,1,3,4,9,2,21,17,2,0,9,1,0,28,0,0,2,2,2,3,3,1,0,0,3,3,0,0,0,85,2
chibe,com.jmstudios.chibe.state.SettingsModel,0,6,2,0.0198,4,2,16,32,48,0,21,0,0,1,6,9,27562,0,0,0,0,0,0,0,1,1,1,101,31,210,66,16,0,99,18,0,11,0,0,1.1,2,0.3,1.3,4,0,3,14,29,26,0,0.0202,0,1269,22
chibe,com.jmstudios.chibe.timing.VibrationAlarmReceiver,1,3,8,0.0615,2,0,8,38,46,1,75,2,2,2,2,5,191148,0,0,0,0,0,0,0,1,2,3,130,45,376,107,8,0,122,7,0,28,0,0,3.57,6,1.86,9.71,25,2,2,5,23,68,0,0.0656,0,2534,25
chibe,com.jmstudios.chibe.timing.VibrationAlarmScheduler,0,5,45,0.3103,4,0,2,21,23,1,63,2,2,1,4,5,102455,0,0,0,7,0.1111,0,0,1,2,3,145,56,244,95,2,0,100,9,0,11,0,0,2.33,7,1.56,5.78,18,2,3,5,34,52,0,0.45,0,1603,21
clear-weather-android,im.r_c.android.clearweather.App,0,0,4,0.4,0,0,1,231,232,0,3,0,0,4,0,0,105,0,2,0,4,0,0,0,1,1,1,10,0,10,8,1,0,6,1,0,131,0,0,1,1,0,1,1,0,0,1,2,1,0,0.6667,0,30,1
clear-weather-android,im.r_c.android.clearweather.activity.AddActivity,0,10,0,0,6,0,7,7,14,0,31,9,12,2,1,1,29462,0,0,0,0,0,0,0,5,4,4,84,46,147,79,7,0,84,7,0,0,0,0,1.38,2,0.71,5,9,5,1,1,33,40,0,0,0,926,11
clear-weather-android,im.r_c.android.clearweather.activity.BaseActivity,0,1,4,0.6667,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,4,1,0,0,0,1,1,6,0,3,3,0,0,2,0,1,0,0,0,,,0,,,0,1,0,0,0,1,2,0,4,0
clear-weather-android,im.r_c.android.clearweather.activity.MainActivity,0,13,3,0.0286,4,0,7,6,13,0,40,13,24,1,0,0,44859,0,0,0,0,0,0,0,2,8,9,105,48,172,85,7,0,102,6,0,0,0,0,2,4,1,6.75,13,6,0,2,25,54,0,0.0294,0,1102,16
clear-weather-android,im.r_c.android.clearweather.adapter.CardPagerAdapter,0,3,5,0.2083,0,1,1,4,5,0,8,2,18,1,1,1,805,0,0,0,4,0,0,0,2,7,8,24,4,25,15,1,0,19,3,0,0,0,0,1,1,1,1.25,2,2,1,3,8,5,0,0.2632,0,97,4
clear-weather-android,im.r_c.android.clearweather.db.CountyDAO,0,5,4,0.0645,1,1,2,17,19,0,91,3,3,1,2,7,92494,0,0,0,4,0,0,0,1,3,3,62,51,179,50,2,0,58,4,0,11,0,0,1.4,2,0.6,6.8,12,2,2,3,31,34,0,0.069,0,1010,7
clear-weather-android,im.r_c.android.clearweather.db.DatabaseHelper,0,3,4,0.129,2,1,2,27,29,0,6,1,1,2,2,9,1486,0,0,0,4,0,0,0,2,2,2,31,3,47,34,2,0,27,2,0,19,0,0,1,1,2.67,1,2,1,1,0,5,3,0,0.1481,0,239,3
