app_key,pattern
chibe,MVC
clear-weather-android,MVC
Binaural-Beats,MVC
Android-CleanArchitecture-master,MVP
birthday-adapter,MVC
ANNO1404-Warenrechner-App,MVC
calendar-color,None
dotdash-keyboard-android,None
cat-avatar-generator-app,MVC
android-client,MVC
android-adbm,None
client-android,MVP
android-expr-eval,None
BipolAlarm,None
debDroid,MVC
AdAway,MVVM;MVC
Book-Catalogue,MVC
calendar-contacts-shortcuts,None
anstop,None
BAC76,MVC
Applications-Info,None
AtmosphereLogger,None
BloodDonation,MVC
compass-keyboard,None
android-xbmcremote,MVP
amdroid,None
diary,None
2048-android,None
Battery-Live,None
cherrymusic-android,None
ATimeTracker,MVC
baby-sleep-sounds,None
Android-Remote,MVC
Android-PreferencesManager,MVC
CopperPDF,None
AsteroidOSSync,MVC
freeotp-android,MVC
MVVM-sample-master,None
archi-mvvm,MVVM
archi-mvc,MVC
Dictionary,MVC
CardVisitAppMVVM-master,MVVM
diode,MVC
debatekeeper,MVC
archi-mvp,MVP
android-mvvm-sample-app,MVVM
Android-MVP-Sample-Application,MVP
android-mvvm-architecture,MVVM
zanavi,MVC
digital-ocean-swimmer,MVC
ZephyrLogger,MVC
yubiclip-android,None
MGKE_Android_App,MVC
Todoer,None
Zensuren,MVC
Github-Trending-Repos,MVVM
Android-Stocks,MVVM
android-template,MVVM
IITP-Connect,MVVM
CosyDVR,None
androidwisprclient,None
Anki-Android,MVC;MVP
CalendarIcsAdapter,None
android-video-listing-mvp,MVC;MVP
nongbeer-mvp-android-demo,MVP
MVPandroid,MVP
android-mvp,MVP
android-mvp-basic-sample,MVP
MVP-Architect-Android-Apps,MVP
android-mvp-architecture,MVP
