,numberOfInputEventListener,numberOfLifeCycleEventHandler,numberOfNonLifeCycleEventHandler,numberOfDirectManipulationOfModels,numberOfInDirectManipulationOfModels,Role
0,0,3,0,1,0,1
1,0,1,0,0,0,1
2,0,3,0,0,0,1
3,0,1,0,0,0,4
4,0,1,0,0,0,1
5,0,1,0,3,27,1
6,0,1,0,1,20,1
7,0,6,0,5,27,1
8,0,0,0,0,0,0
9,0,1,0,0,0,0
10,0,0,0,0,0,0
11,0,1,0,0,0,0
12,0,1,0,0,25,1
13,0,0,0,0,0,4
14,0,0,0,3,18,4
15,0,1,0,0,0,0
16,0,1,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,4
19,0,0,0,0,0,4
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,1,0,0,0,1
23,0,0,0,0,0,0
24,0,2,0,0,0,1
25,0,1,0,0,0,4
26,0,2,0,0,0,0
27,0,1,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,1,0,0,0,1
31,0,3,0,0,0,4
32,0,1,0,0,0,4
33,0,1,0,0,0,4
34,0,0,0,0,0,4
35,0,1,0,0,0,0
36,0,1,0,0,0,0
37,0,2,0,1,6,0
38,0,0,0,1,0,0
39,0,1,0,2,7,1
40,0,0,0,0,0,0
41,0,0,0,0,0,4
42,0,1,0,0,0,4
43,0,0,0,0,0,4
44,0,5,0,0,0,4
45,0,2,0,0,0,4
46,0,1,0,0,0,4
47,0,0,0,0,0,4
48,0,1,0,0,0,0
49,0,3,0,0,0,0
50,0,0,0,0,0,4
51,0,0,0,0,0,4
52,0,3,0,0,0,0
53,0,0,0,0,0,4
54,0,4,0,0,0,0
55,0,2,0,0,0,0
56,0,0,0,0,0,4
57,0,0,0,0,0,4
58,0,0,0,0,0,4
59,0,1,0,0,0,4
60,0,1,0,0,0,4
61,0,2,0,0,0,4
62,0,0,0,0,0,4
63,0,0,0,0,0,4
64,0,0,0,0,0,4
65,0,1,0,0,0,0
66,0,1,0,1,4,1
67,0,1,0,0,0,0
68,0,1,0,0,0,0
69,0,1,0,0,0,4
70,0,2,0,0,4,0
71,0,1,0,1,10,0
72,0,1,0,0,0,0
73,0,1,0,1,2,4
74,0,0,0,1,0,4
75,0,1,0,0,13,0
76,0,0,0,1,0,4
77,0,0,0,1,0,4
78,0,2,0,0,0,0
79,0,1,0,0,10,4
80,0,1,0,0,0,0
81,0,3,0,2,26,0
82,0,2,0,1,77,1
83,0,3,0,1,116,1
84,0,3,0,1,131,1
85,0,2,0,0,0,0
86,0,2,0,0,0,0
87,0,3,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,4,0,0,0,0
91,0,3,0,0,51,1
92,0,1,0,0,0,0
93,0,1,0,0,0,0
94,0,1,0,0,46,0
95,0,1,0,0,0,0
96,0,0,0,0,0,0
97,0,2,0,0,0,0
98,0,0,0,0,0,0
99,0,1,0,0,0,0
100,0,1,0,0,0,0
101,0,3,0,0,0,0
102,0,1,0,0,105,0
103,0,3,0,0,51,1
104,0,2,0,0,30,0
105,0,3,0,0,89,1
106,0,0,0,0,0,4
107,0,3,0,0,81,1
108,0,5,0,0,0,0
109,0,0,0,0,0,4
110,0,0,0,0,0,4
111,0,0,0,0,0,4
112,0,0,0,0,0,4
113,0,0,0,0,0,4
114,0,0,0,0,0,4
115,0,0,0,0,0,4
116,0,3,0,0,0,0
117,0,2,0,0,0,0
118,0,2,0,0,0,0
119,0,2,0,0,0,0
120,0,1,0,0,0,0
121,0,1,0,0,74,0
122,0,0,0,0,0,4
123,0,4,0,1,467,1
124,0,0,0,0,0,4
125,0,3,0,2,168,1
126,0,6,0,2,137,1
127,0,4,0,3,531,1
128,0,3,0,0,80,1
129,0,4,0,0,51,1
130,0,0,0,0,0,4
131,0,0,0,0,0,4
132,0,3,0,0,51,1
133,0,2,0,0,0,0
134,0,3,0,0,51,1
135,0,3,0,1,174,1
136,0,0,0,0,0,4
137,0,1,0,1,0,0
138,0,4,0,0,51,1
139,0,2,0,1,279,0
140,0,3,0,0,51,1
141,0,1,0,0,0,4
142,0,1,0,0,0,4
143,0,3,0,0,0,4
144,0,2,0,0,0,4
145,0,3,0,0,0,4
146,0,1,0,0,0,4
147,0,1,0,0,0,0
148,0,1,0,0,0,0
149,0,1,0,3,5,1
150,0,1,0,0,0,0
151,0,1,0,0,0,0
152,0,1,0,0,0,4
153,0,0,0,0,0,4
154,0,1,0,0,0,4
155,0,0,0,0,0,4
156,0,0,0,0,0,4
157,0,2,0,0,0,4
158,0,1,0,0,0,4
159,0,0,0,0,0,4
160,0,0,0,0,0,4
161,0,0,0,0,0,4
162,0,0,0,0,0,4
163,0,0,0,0,0,4
164,0,4,0,0,0,4
165,0,4,0,0,0,4
166,0,1,0,0,2,1
