,number_of_gui_components,number_of_gui_statements,number_of_input_events_listeners,number_of_lifecycle_events,number_of_non_lifecycle_events,number_of_direct_manipulation_of_models,number_of_indirect_manipulation_of_models,handle_input_events_in_xml_file,has_data_tag_in_layout_file,does_use_data_binding,is_view_model,is_presenter_form,B,CBO,CLOC,COM_RAT,Command,Cons,CSA,CSO,CSOA,Cyclic,D,Dcy,Dcy1,DIT,Dpt,Dpt1,E,Inner,Inner1,Jf,JLOC,Jm,JTA,JTM,LCOM,Level,Level1,LOC,MPC,N,n,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,PDcy,PDpt,Query,RFC,STAT,SUB,TCOM_RAT,TODO,V,WMC,class_complexity,coupling_between_object_classes,lack_of_cohesion_in_methods,npath_complexity,class_name,app_key,Role
0,0,51,1,0,0,0,False,0,1,0,1,0,0.0,6.0,0.0,0.0,4.0,1.0,10.0,108.0,118.0,0.0,47.0,6.0,6.0,2.0,0.0,0.0,95819.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,130.0,41.0,305.0,96.0,10.0,0.0,130.0,6.0,0.0,89.0,3.0,0.0,3.69,9.0,1.1,7.77,18.0,1.0,0.0,5.0,27,101.0,0.0,0.0,0.0,2008.0,48.0,82,2,21,4.835703278458517e+24,com.jmstudios.chibe.preference.IntervalSeekBarPreference,chibe,View
1,0,102,10,1,2,0,False,0,1,0,1,0,1.0,6.0,4.0,0.0253,6.0,1.0,4.0,167.0,171.0,0.0,93.0,5.0,5.0,4.0,1.0,1.0,176873.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,158.0,82.0,282.0,106.0,4.0,0.0,154.0,7.0,1.0,136.0,2.0,0.0,1.62,4.0,0.7,4.69,15.0,1.0,1.0,3.0,47,75.0,1.0,0.026000000000000002,0.0,1897.0,26.0,27,2,23,134217728.0,com.jmstudios.chibe.preference.VibrationPatternPreference,chibe,Controller;View
2,3,34,1,3,0,1,False,0,1,0,1,0,0.0,9.0,12.0,0.1237,5.0,0.0,5.0,19.0,24.0,0.0,34.0,9.0,13.0,1.0,0.0,0.0,30192.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,97.0,32.0,141.0,73.0,5.0,0.0,85.0,6.0,0.0,11.0,0.0,0.0,2.0,6.0,0.83,6.14,18.0,3.0,0.0,1.0,24,43.0,0.0,0.1412,0.0,872.0,14.0,19,4,1,524288.0,com.jmstudios.chibe.ChibeActivity,chibe,Controller;View
3,0,29,3,1,0,0,False,0,0,0,1,0,0.0,5.0,5.0,0.0725,3.0,1.0,2.0,139.0,141.0,0.0,22.0,4.0,6.0,3.0,1.0,1.0,11809.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,69.0,28.0,93.0,50.0,2.0,0.0,64.0,3.0,0.0,125.0,1.0,0.0,1.12,2.0,0.2,3.12,6.0,1.0,1.0,1.0,18,25.0,0.0,0.0781,0.0,524.0,9.0,10,2,10,1024.0,com.jmstudios.chibe.ChibeFragment,chibe,Controller
4,0,45,0,0,0,0,False,0,1,0,1,0,1.0,3.0,8.0,0.0615,2.0,0.0,8.0,38.0,46.0,1.0,75.0,2.0,2.0,2.0,2.0,5.0,191148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,130.0,45.0,376.0,107.0,8.0,0.0,122.0,7.0,0.0,28.0,0.0,0.0,3.57,6.0,1.86,9.71,25.0,2.0,2.0,5.0,23,68.0,0.0,0.0656,0.0,2534.0,25.0,37,3,28,137438953472.0,com.jmstudios.chibe.timing.VibrationAlarmReceiver,chibe,Model
5,8,72,2,3,2,2,False,0,0,0,1,0,0.0,10.0,0.0,0.0,6.0,0.0,7.0,7.0,14.0,0.0,31.0,9.0,12.0,2.0,1.0,1.0,29462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,84.0,46.0,147.0,79.0,7.0,0.0,84.0,7.0,0.0,0.0,0.0,0.0,1.38,2.0,0.71,5.0,9.0,5.0,1.0,1.0,33,40.0,0.0,None,0.0,926.0,11.0,13,4,22,8192.0,im.r_c.android.clearweather.activity.AddActivity,clear-weather-android,Controller;View
6,0,0,0,0,0,0,False,0,0,0,1,0,0.0,1.0,4.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,None,None,0.0,None,None,0.0,1.0,0.0,0,0.0,1.0,None,0.0,4.0,0.0,1,0,1,2.0,im.r_c.android.clearweather.activity.BaseActivity,clear-weather-android,None
7,4,55,3,1,5,0,False,0,0,0,1,0,0.0,13.0,3.0,0.0286,4.0,0.0,7.0,6.0,13.0,0.0,40.0,13.0,24.0,1.0,0.0,0.0,44859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,9.0,105.0,48.0,172.0,85.0,7.0,0.0,102.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,6.75,13.0,6.0,0.0,2.0,25,54.0,0.0,None,0.0,1102.0,16.0,22,9,9,4194304.0,im.r_c.android.clearweather.activity.MainActivity,clear-weather-android,Controller;View
8,0,269,0,2,0,0,False,0,0,0,1,0,0.0,11.0,6.0,0.0448,4.0,0.0,19.0,6.0,25.0,0.0,56.0,10.0,17.0,1.0,1.0,2.0,100802.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,6.0,7.0,134.0,90.0,261.0,115.0,19.0,0.0,128.0,6.0,0.0,0.0,0.0,0.0,1.22,3.0,1.0,6.78,15.0,4.0,1.0,2.0,39,61.0,0.0,None,0.0,1786.0,11.0,11,6,16,2048.0,im.r_c.android.clearweather.fragment.CardFragment,clear-weather-android,Controller;View
9,0,957,41,1,0,0,False,0,3,24,1,0,9.0,13.0,4.0,0.0059,7.0,0.0,33.0,670.0,703.0,25.0,283.0,10.0,92.0,10.0,4.0,26.0,4922346.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,28.0,682.0,541.0,2043.0,359.0,15.0,18.0,678.0,9.0,0.0,494.0,1.0,0.0,4.4,33.0,0.8,14.11,95.0,2.0,1.0,3.0,92,494.0,0.0,None,0.0,17340.0,154.0,150,7,13,1.42724769270596e+45,com.ihunda.android.binauralbeat.AddPresetActivity,Binaural-Beats,Controller;View
