,numberOfInputEventListener,numberOfLifeCycleEventHandler,numberOfNonLifeCycleEventHandler,numberOfDirectManipulationOfModels,numberOfInDirectManipulationOfModels,Role
0,0,3,0,1,0,1
1,0,1,0,0,0,1
2,0,3,0,0,0,1
3,0,1,0,0,0,4
4,0,1,0,0,0,1
5,0,3,0,0,0,1
6,0,1,0,3,25,1
7,0,1,0,1,19,1
8,0,0,0,0,0,4
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,1,0,0,0,0
12,0,2,0,0,0,0
13,0,1,0,0,24,4
14,0,1,0,0,0,0
15,0,1,0,0,0,0
16,0,1,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,4
19,0,0,0,0,0,4
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,3,0,0,0,4
23,0,1,0,0,0,4
24,0,3,0,0,0,4
25,0,1,0,0,0,0
26,0,2,0,1,1,0
27,0,1,0,0,0,0
28,0,1,0,0,0,0
29,0,2,0,0,0,0
30,0,2,0,0,0,0
31,0,1,0,0,0,0
32,0,1,0,0,0,0
33,0,1,0,0,0,0
34,0,1,0,0,0,0
35,0,0,0,0,0,0
36,0,2,0,0,0,0
37,0,1,0,0,0,4
38,0,2,0,0,0,0
39,0,4,0,0,0,0
40,0,1,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,1,0,0,0,0
44,0,3,0,0,0,4
45,0,3,0,0,0,4
46,0,0,0,0,0,4
47,0,1,0,0,0,0
48,0,3,0,0,0,0
49,0,3,0,0,0,0
50,0,4,0,0,0,0
51,0,2,0,0,0,0
52,0,0,0,0,0,4
53,0,0,0,0,0,4
54,0,0,0,0,0,4
55,0,2,0,0,0,4
56,0,0,0,0,0,4
57,0,0,0,0,0,4
58,0,1,0,0,0,0
59,0,0,0,0,0,4
60,0,1,0,0,0,0
61,0,2,0,0,4,0
62,0,1,0,1,10,0
63,0,1,0,0,0,0
64,0,1,0,1,2,4
65,0,0,0,1,0,4
66,0,1,0,0,13,0
67,0,0,0,1,0,4
68,0,0,0,1,0,4
69,0,1,0,0,0,0
70,0,2,0,0,0,0
71,0,1,0,0,10,4
72,0,1,0,0,0,0
73,0,3,0,1,24,0
74,0,2,0,1,70,0
75,0,3,0,1,106,0
76,0,3,0,1,119,0
77,0,2,0,0,0,0
78,0,3,0,0,0,4
79,0,3,0,0,0,4
80,0,2,0,0,0,4
81,0,3,0,0,0,0
82,0,0,0,0,0,4
83,0,4,0,0,0,4
84,0,3,0,0,46,4
85,0,1,0,0,0,0
86,0,1,0,0,0,0
87,0,1,0,0,38,0
88,0,1,0,0,0,0
89,0,2,0,0,0,0
90,0,1,0,0,0,0
91,0,1,0,0,0,4
92,0,3,0,0,0,0
93,0,1,0,0,83,0
94,0,3,0,0,46,0
95,0,2,0,0,28,4
96,0,3,0,0,81,4
97,0,3,0,0,74,4
98,0,5,0,0,0,0
99,0,0,0,0,0,4
100,0,0,0,0,0,4
101,0,0,0,0,0,4
102,0,0,0,0,0,4
103,0,0,0,0,0,4
104,0,3,0,0,0,4
105,0,2,0,0,0,0
106,0,2,0,0,0,0
107,0,2,0,0,0,0
108,0,1,0,0,0,4
109,0,1,0,0,60,0
110,0,3,0,2,148,1
111,0,6,0,1,70,4
112,0,4,0,2,466,0
113,0,3,0,0,74,0
114,0,4,0,0,46,0
115,0,3,0,0,46,4
116,0,2,0,0,0,4
117,0,3,0,0,46,4
118,0,3,0,0,154,4
119,0,1,0,0,0,4
120,0,4,0,0,46,0
121,0,2,0,0,245,0
122,0,3,0,0,46,0
123,0,2,0,0,0,4
124,0,3,0,0,0,4
125,0,1,0,0,0,4
126,0,1,0,0,0,0
127,0,1,0,0,0,0
128,0,1,0,0,0,0
129,0,1,0,0,0,0
130,0,1,0,0,0,4
131,0,3,0,0,0,4
132,0,1,0,0,0,4
133,0,3,0,0,0,4
134,0,2,0,0,0,4
135,0,1,0,0,0,4
136,0,0,0,0,0,4
137,0,0,0,0,0,4
138,0,0,0,0,0,4
139,0,0,0,0,0,4
140,0,5,0,0,0,4
141,0,0,0,0,0,4
142,0,0,0,0,0,4
143,0,0,0,0,0,4
144,0,4,0,0,0,4
145,0,4,0,0,0,4
146,0,1,0,0,0,4
147,0,2,0,0,0,4
148,0,1,0,0,0,4
149,0,2,0,0,0,4
150,0,2,0,0,0,4
151,0,2,0,0,0,4
152,0,7,0,0,0,4
153,0,2,0,0,0,4
154,0,1,0,0,0,4
155,0,0,0,0,0,4
156,0,0,0,0,0,4
157,0,3,0,0,0,0
158,0,3,0,0,30,0
159,0,3,0,2,24,4
160,0,3,0,0,6,0
161,0,1,0,0,0,0
162,0,3,0,0,57,0
163,0,3,0,0,2,0
164,0,1,0,0,0,0
165,0,3,0,0,0,0
166,0,3,0,2,24,0
